observation_id,review_status,inn,smiles,column_chemistry,column_length_mm,column_id_mm,particle_um,modifier,organic_percent,pH,buffer,flow_ml_min,temperature_c,t0_min,t0_source,t0_porosity_assumption,retention_time_min,retention_time_low_min,retention_time_high_min,log_k,source_file,source_page,source_chunk_id,condition_page_distance,extraction_method,extraction_confidence,validation_status,validation_issues,evidence
auto-00037,needs_review,pramipexole,CCCNC1CCc2nc(N)sc2C1,,,,,,,,False,,,,,,30.0,30.0,30.0,,прамипексол.pdf,2,09175d9a1595812239ca6ceef53d8f824f2d1d13,,regex_v1,low,incomplete,missing_column;missing_modifier;missing_organic_percent;missing_flow;missing_t0,"© белого цвета с фаской. На одной стороне риска и равировка «12» Подлинность ВЭЖХ Время удерживания основного пика на хроматограмме испытуемого раствора должно соответствовать времени удерживания основного пика & на хроматограмме раствора стандартного образца 1 (см. раздел «Количественное определение» Растворение ГФ РФ, Не менее 80 % (Q) > вэжх Cio Hi7 Ns S-2HCI-H,O (прамипексола дигидрохлорида моногидрата) через 30 минут По внешнему виду должны соответствовать требованиям ГФ РФ, ОФС.1.4.1.0015.15"
auto-00038,needs_review,pramipexole,CCCNC1CCc2nc(N)sc2C1,,,,,,,,False,,,,,,2.5,2.5,2.5,,прамипексол.pdf,7,18345f533f30c13dfd35f17c44d61a630f7e7ec9,,regex_v1,medium,incomplete,missing_column;missing_modifier;missing_organic_percent;missing_flow;missing_t0,"е сигнал/шум для пика прамипексола Ha хроматограмме раствора для проверки чувствительности системы не менее 10:1. При расчете содержания примесей не учитываются системные пики со временем удерживания менее 2,5 минут и пики, площадь которых менее 0,05 % площади пика прамипексола на хроматограм"
auto-00039,needs_review,mirtazapine,CN1CCN2c3ccccc3Cc3cccnc3C2C1,,,,,methanol,10.0,,False,,,,,,45.0,45.0,45.0,,ремерон.pdf,2,30127c486806e82df61e3d13e30658c8e5ee9bde,0,regex_v1,low,incomplete,missing_column;missing_flow;missing_t0,"не должно соответствовать пятну миртазапина на хроматограмме раствора сравнения 1В. ~ ВЭЖХ Отношение времени удерживания основного пика на хроматограмме испытуемого раствора tA ко времени удерживания пика миртазапина на хроматограмме стандартного раствора гА должно быть в пределах 0,980 < В < 1,020. Растворение УФ-спетрофото- |Не менее 80 % (Q=75) от метрия. заявленного содержания через Евр.Ф., ГФ РФ) |45 мин Родственные примеси | ВЭЖХ Идентифицированные продукты разложения: примесь А ЕФ"
auto-00040,needs_review,rivaroxaban,O=C(NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,,,,,acetonitrile,90.0,,False,,60,,,,15.0,15.0,15.0,,ривар_крка.pdf,3,6b75f88fc5ab31e30e28afd66911f1d9fbcb8ef6,17,regex_v1,low,incomplete,missing_column;missing_flow;missing_t0,"о цвета с гравировкой «20» на одной стороне таблетки. Идентификация** | Время удерживания основного пика на | ВЭЖХ хроматограмме испытуемого раствора (SaS) должно соответствовать времени удерживания пика ривароксабана на хроматограмме стандартного раствора (55). Растворение Не менее 80% (О) ривароксабана от | ГФРФ* или (для таблеток заявленного количества через 15 мин. Ph. Eur., 2,5 мг) УФ-спектро- Растворение Не менее 80% (О) ривароксабана от |"
auto-00041,needs_review,rivaroxaban,O=C(NCC1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,,,,,acetonitrile,90.0,,False,1.0,60,,,,34.0,34.0,34.0,,ривар_крка.pdf,23,1712b286599f3e6a18dbc7d2d27486fe4ab5fbbe,3,regex_v1,low,incomplete,missing_column;missing_t0,"ксабана на основании хроматограмм стандартного раствора, используя метод внешнего стандарта. Затем вводят испытуемый раствор (SaS), регистрируют хроматограммы и оценивают отклики (время удерживания и площадь) пиков примесей ривароксабана. © Оценивают родственные примеси ривароксабана относительно пика ривароксабана на хроматограмме стандартного раствора ($$). Не учитывают пики холостого раствора (BL), плацебо (Rt около 34 минут) и пики примесей, площадь которых меньше или равна 0,10 %. Содержание родств"
auto-00042,needs_review,duloxetine,CNCCC(Oc1cccc2ccccc12)c1cccs1,,,,,,,,True,,,,,,7.0,7.0,7.0,,симбалта.pdf,33,5ff27fd399ff4fb9cf6ed67cdf23a7855d85946f,19,regex_v1,low,incomplete,missing_column;missing_modifier;missing_organic_percent;missing_flow;missing_t0;missing_buffer_pH,"и 1 день при комнатных условиях. Условия хроматографирования: Время хроматографирования - более 15 мин или в 2,5 раза более времени удерживания пика N-сукциноил дулоксетина (время удерживания пика N-сукциноил дулоксетина устанавливается по раствору для проверки разрешения ). Если проводится только количественное определение или определение однородности дозирования, то время хроматографирования составляет около 7 мин. C. 35 Проверка пригодности хроматографической системы:"
auto-00043,needs_review,duloxetine,CNCCC(Oc1cccc2ccccc12)c1cccs1,,,,,,,,True,,,,,,7.0,7.0,7.0,,симбалта.pdf,34,e243391da7526584ac94a3ab92a5ec626b1f0d2a,20,regex_v1,low,incomplete,missing_column;missing_modifier;missing_organic_percent;missing_flow;missing_t0;missing_buffer_pH,"- более 15 мин или в 2,5 раза более времени удерживания пика N-сукциноил дулоксетина (время удерживания пика N-сукциноил дулоксетина устанавливается по раствору для проверки разрешения ). Если проводится только количественное определение или определение однородности дозирования, то время хроматографирования составляет около 7 мин. C. 35 Проверка пригодности хроматографической системы: Для количественного"
auto-00044,needs_review,silodosin,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,,150.0,4.6,3.5,acetonitrile,,,True,0.9,,1.8835,estimated_column_geometry,0.68,15.0,15.0,15.0,0.8428551036788315,урорек.pdf,2,e4fa5ff5d94c85ae5b796a32d413d3746c9ee294,6,regex_v1,low,incomplete,missing_column;missing_organic_percent;missing_buffer_pH;estimated_t0_not_measured,"а. Подлинность ВЭЖХ Время удерживания основного пика Силодозин (Одновременно с (первого) на хроматограмме испытуемого количественным раствора должно соответствовать определением) времени удерживания основного пика (первого) на хроматограмме стандартного раствора силодозина. Растворение? Евр. Ф. (2.9.3) или ГФ Не менее 80 % (О) от заявленного & РФ, ОФС.1.4.2.0014.15, | количества силодозина переходит в ВЭЖХ раствор через 15 мин. Родственные примеси | ВЭЖХ Примесь KMD-3241 - не более 1,5 % Примесь KMD-3289"
auto-00045,needs_review,silodosin,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,,150.0,4.6,3.5,,,,True,0.9,,1.8835,estimated_column_geometry,0.68,6.0,6.0,6.0,0.3395660188098012,урорек.pdf,9,bafd4cf8bb4edd94ce583b0d32514855ed1aa9cf,3,regex_v1,high,incomplete,missing_column;missing_modifier;missing_organic_percent;missing_buffer_pH;estimated_t0_not_measured,"раствор 0,1 М=27: 73 (о/о) Скорость потока: 0,9 мл/мин | О ФЗ О. Детектор: 270 нм (УФ) Температура колонки: (40 =2) °С Объем пробы: 50 мкл Время анализа: 10 мин Приблизительное время удерживания пика около 6 мин силодозина: Последовательность ввода проб: 1. Холостой раствор (среда раствор"
auto-00046,needs_review,silodosin,C[C@H](Cc1cc2c(c(C(N)=O)c1)N(CCCO)CC2)NCCOc1ccccc1OCC(F)(F)F,,250.0,4.6,5.0,,,,True,1.4,,2.018,estimated_column_geometry,0.68,14.0,14.0,14.0,0.7736019974968493,урорек.pdf,12,d348688f8f557be5185f4a4e95b514f1c48ba795,0,regex_v1,high,incomplete,missing_column;missing_modifier;missing_organic_percent;missing_buffer_pH;estimated_t0_not_measured,мл/мин Детектор: 225 нм (УФ) Температура колонки: (40 + 2) °C Объем пробы: 25 мкл Время хроматографирования: 55 мин © Время уравновешивания 10 мин после инжекции: Приблизительное время удерживания пика: Силодозина около 14 мин Примеси КМО-3241 около 20 мин Примеси KMD-3289 около 23 мин Градиентная програм
